,year,race,race_name,start_date,location
0,2023,1,Pre-Season Testing,2023-02-23T07:00:00+00:00,Sakhir
1,2023,2,Bahrain Grand Prix,2023-03-03T11:30:00+00:00,Sakhir
2,2023,3,Saudi Arabian Grand Prix,2023-03-17T13:30:00+00:00,Jeddah
3,2023,4,Australian Grand Prix,2023-03-31T02:30:00+00:00,Melbourne
4,2023,5,Azerbaijan Grand Prix,2023-04-28T09:30:00+00:00,Baku
5,2023,6,Miami Grand Prix,2023-05-05T18:00:00+00:00,Miami
6,2023,7,Emilia Romagna Grand Prix,2023-05-19T11:30:00+00:00,Imola
7,2023,8,Monaco Grand Prix,2023-05-26T11:30:00+00:00,Monaco
8,2023,9,Spanish Grand Prix,2023-06-02T11:30:00+00:00,Barcelona
9,2023,10,Canadian Grand Prix,2023-06-16T17:30:00+00:00,Montréal
10,2023,11,Austrian Grand Prix,2023-06-30T11:30:00+00:00,Spielberg
11,2023,12,British Grand Prix,2023-07-07T11:30:00+00:00,Silverstone
12,2023,13,Hungarian Grand Prix,2023-07-21T11:30:00+00:00,Budapest
13,2023,14,Belgian Grand Prix,2023-07-28T11:30:00+00:00,Spa-Francorchamps
14,2023,15,Dutch Grand Prix,2023-08-25T10:30:00+00:00,Zandvoort
15,2023,16,Italian Grand Prix,2023-09-01T11:30:00+00:00,Monza
16,2023,17,Singapore Grand Prix,2023-09-15T09:30:00+00:00,Marina Bay
17,2023,18,Japanese Grand Prix,2023-09-22T02:30:00+00:00,Suzuka
18,2023,19,Qatar Grand Prix,2023-10-06T13:30:00+00:00,Lusail
19,2023,20,United States Grand Prix,2023-10-20T17:30:00+00:00,Austin
20,2023,21,Mexico City Grand Prix,2023-10-27T18:30:00+00:00,Mexico City
21,2023,22,São Paulo Grand Prix,2023-11-03T14:30:00+00:00,São Paulo
22,2023,23,Las Vegas Grand Prix,2023-11-17T04:30:00+00:00,Las Vegas
23,2023,24,Abu Dhabi Grand Prix,2023-11-24T09:30:00+00:00,Yas Island
24,2024,1,Pre-Season Testing,2024-02-21T07:00:00+00:00,Sakhir
25,2024,2,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,Sakhir
26,2024,3,Saudi Arabian Grand Prix,2024-03-07T13:30:00+00:00,Jeddah
27,2024,4,Australian Grand Prix,2024-03-22T01:30:00+00:00,Melbourne
28,2024,5,Japanese Grand Prix,2024-04-05T02:30:00+00:00,Suzuka
29,2024,6,Chinese Grand Prix,2024-04-19T03:30:00+00:00,Shanghai
30,2024,7,Miami Grand Prix,2024-05-03T16:30:00+00:00,Miami
31,2024,8,Emilia Romagna Grand Prix,2024-05-17T11:30:00+00:00,Imola
32,2024,9,Monaco Grand Prix,2024-05-24T11:30:00+00:00,Monaco
33,2024,10,Canadian Grand Prix,2024-06-07T17:30:00+00:00,Montréal
34,2024,11,Spanish Grand Prix,2024-06-21T11:30:00+00:00,Barcelona
35,2024,12,Austrian Grand Prix,2024-06-28T10:30:00+00:00,Spielberg
36,2024,13,British Grand Prix,2024-07-05T11:30:00+00:00,Silverstone
37,2024,14,Hungarian Grand Prix,2024-07-19T11:30:00+00:00,Budapest
38,2024,15,Belgian Grand Prix,2024-07-26T11:30:00+00:00,Spa-Francorchamps
39,2024,16,Dutch Grand Prix,2024-08-23T10:30:00+00:00,Zandvoort
40,2024,17,Italian Grand Prix,2024-08-30T11:30:00+00:00,Monza
41,2024,18,Azerbaijan Grand Prix,2024-09-13T09:30:00+00:00,Baku
42,2024,19,Singapore Grand Prix,2024-09-20T09:30:00+00:00,Marina Bay
43,2024,20,United States Grand Prix,2024-10-18T17:30:00+00:00,Austin
44,2024,21,Mexico City Grand Prix,2024-10-25T18:30:00+00:00,Mexico City
45,2024,22,São Paulo Grand Prix,2024-11-01T14:30:00+00:00,São Paulo
46,2024,23,Las Vegas Grand Prix,2024-11-22T02:30:00+00:00,Las Vegas
47,2024,24,Qatar Grand Prix,2024-11-29T13:30:00+00:00,Lusail
48,2024,25,Abu Dhabi Grand Prix,2024-12-06T09:30:00+00:00,Yas Island
49,2025,1,Pre-Season Testing,2025-02-26T07:00:00+00:00,Sakhir
50,2025,2,Australian Grand Prix,2025-03-14T01:30:00+00:00,Melbourne
51,2025,3,Chinese Grand Prix,2025-03-21T03:30:00+00:00,Shanghai
52,2025,4,Japanese Grand Prix,2025-04-04T02:30:00+00:00,Suzuka
53,2025,5,Bahrain Grand Prix,2025-04-11T11:30:00+00:00,Sakhir
54,2025,6,Saudi Arabian Grand Prix,2025-04-18T13:30:00+00:00,Jeddah
55,2025,7,Miami Grand Prix,2025-05-02T16:30:00+00:00,Miami Gardens
56,2025,8,Emilia Romagna Grand Prix,2025-05-16T11:30:00+00:00,Imola
57,2025,9,Monaco Grand Prix,2025-05-23T11:30:00+00:00,Monaco
58,2025,10,Spanish Grand Prix,2025-05-30T11:30:00+00:00,Barcelona
59,2025,11,Canadian Grand Prix,2025-06-13T17:30:00+00:00,Montréal
60,2025,12,Austrian Grand Prix,2025-06-27T11:30:00+00:00,Spielberg
61,2025,13,British Grand Prix,2025-07-04T11:30:00+00:00,Silverstone
62,2025,14,Belgian Grand Prix,2025-07-25T10:30:00+00:00,Spa-Francorchamps
63,2025,15,Hungarian Grand Prix,2025-08-01T11:30:00+00:00,Budapest
64,2025,16,Dutch Grand Prix,2025-08-29T10:30:00+00:00,Zandvoort
65,2025,17,Italian Grand Prix,2025-09-05T11:30:00+00:00,Monza
66,2025,18,Azerbaijan Grand Prix,2025-09-19T08:30:00+00:00,Baku
67,2025,19,Singapore Grand Prix,2025-10-03T09:30:00+00:00,Marina Bay
68,2025,20,United States Grand Prix,2025-10-17T17:30:00+00:00,Austin
69,2025,21,Mexico City Grand Prix,2025-10-24T18:30:00+00:00,Mexico City
70,2025,22,São Paulo Grand Prix,2025-11-07T14:30:00+00:00,São Paulo
71,2025,23,Las Vegas Grand Prix,2025-11-21T00:30:00+00:00,Las Vegas
72,2025,24,Qatar Grand Prix,2025-11-28T13:30:00+00:00,Lusail
73,2025,25,Abu Dhabi Grand Prix,2025-12-05T09:30:00+00:00,Yas Island
